"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.291079835E2,6.222299500E1,2.577217667E1,8.869141876E1,1.040768385E0,1.630999947E1,1.600000024E0,9.100000381E0
1.301079835E2,6.222300667E1,2.577218000E1,8.879142594E1,1.054665804E0,9.439999580E0,1.700000048E0,9.300000191E0
1.311079835E2,6.222301500E1,2.577218167E1,8.889143101E1,1.050548077E0,1.861000061E1,1.600000024E0,9.000000000E0
1.321079835E2,6.222302500E1,2.577218333E1,8.899143708E1,1.040253639E0,1.213000011E1,1.600000024E0,8.899999619E0
1.331079835E2,6.222303167E1,2.577219000E1,8.909144152E1,1.033562183E0,1.681999969E1,1.600000024E0,8.899999619E0
1.341079835E2,6.222304167E1,2.577220000E1,8.909144820E1,1.032018065E0,1.703000069E1,1.600000024E0,8.899999619E0
1.351079835E2,6.222305000E1,2.577220500E1,8.919145351E1,1.019664764E0,1.407999992E1,1.600000024E0,9.000000000E0
1.361079835E2,6.222306000E1,2.577221000E1,8.919145982E1,1.037680030E0,2.872999954E1,1.600000024E0,9.000000000E0
1.371079835E2,6.222307333E1,2.577222167E1,8.899146860E1,1.029444456E0,2.054000092E1,1.600000024E0,8.800000191E0
1.381079835E2,6.222308000E1,2.577223833E1,8.889147378E1,1.030473948E0,2.630999947E1,1.600000024E0,8.800000191E0
1.391079835E2,6.222308667E1,2.577224833E1,8.879147847E1,1.018635273E0,2.087999916E1,1.600000024E0,9.000000000E0
1.401079835E2,6.222309333E1,2.577225167E1,8.879148267E1,9.944433570E-1,1.043999958E1,1.600000024E0,9.000000000E0
1.411079835E2,6.222310000E1,2.577225667E1,8.869148700E1,1.010399699E0,8.670000076E0,1.600000024E0,9.100000381E0
1.421079835E2,6.222311167E1,2.577226333E1,8.869149442E1,1.063416123E0,1.703000069E1,1.600000024E0,9.300000191E0
1.431079835E2,6.222312500E1,2.577226833E1,8.889150270E1,1.102020264E0,2.127000046E1,1.700000048E0,9.199999809E0
1.441079835E2,6.222313667E1,2.577228333E1,8.889151073E1,1.173051953E0,2.500000000E1,1.700000048E0,9.199999809E0
